SNo,Date,Account Name,Amount,Voucher No
94,27/05/2024, POS Billing,3443,REG1372
95,03/06/2024, POS Billing,7985,REG1476
96,10/06/2024, POS Billing,3624,REG1560
97,18/06/2024, POS Billing,9774,REG1670
98,01/07/2024, POS Billing,9165,REG1885
99,08/07/2024, POS Billing,10331,REG1997
100,22/07/2024, POS Billing,12033,REG2214
101,05/08/2024, POS Billing,13904,REG2404
102,12/08/2024, POS Billing,6803,REG2520
103,19/08/2024, POS Billing,1100,REG2608
104,26/08/2024, POS Billing,7204,REG2697
105,02/09/2024, POS Billing,1830,REG2803
106,09/09/2024, POS Billing,10059,REG2902
107,16/09/2024, POS Billing,2814,REG3006
108,23/09/2024, POS Billing,10957,REG3107
109,01/10/2024, POS Billing,5920,REG3222
110,07/10/2024, POS Billing,9148,REG3312
111,14/10/2024, POS Billing,9204,REG3423
112,22/10/2024, POS Billing,8632,REG3540
113,28/10/2024, POS Billing,3154,REG3628
114,05/11/2024, POS Billing,13052,REG3716
115,14/11/2024, POS Billing,7621,REG3858
116,18/11/2024, POS Billing,2241,REG3914
117,02/12/2024, POS Billing,14061,REG4120
118,01/05/2024, CASH,1445,3545
119,06/05/2024, POS Billing,1529,REG1073
120,21/05/2024, POS Billing,1174,REG1287
121,27/05/2024, POS Billing,1268,REG1378
122,04/06/2024, POS Billing,904,REG1488
123,10/06/2024, POS Billing,889,REG1565
124,18/06/2024, POS Billing,2265,REG1668
125,25/06/2024, POS Billing,1987,REG1784
126,01/07/2024, POS Billing,1331,REG1898
127,08/07/2024, POS Billing,1353,REG2009
128,16/07/2024, POS Billing,1543,REG2113
129,23/07/2024, POS Billing,1268,REG2229
130,30/07/2024, POS Billing,1807,REG2311
131,06/08/2024, POS Billing,2874,REG2418
132,13/08/2024, POS Billing,1302,REG2526
133,03/09/2024, POS Billing,4110,REG2816
134,09/09/2024, POS Billing,1795,REG2915
135,17/09/2024, POS Billing,3190,REG3019
136,24/09/2024, POS Billing,899,REG3114
137,25/09/2024, POS Billing,2233,REG3132
138,30/09/2024, POS Billing,1024,REG3220
139,08/10/2024, POS Billing,1823,REG3329
140,15/10/2024, POS Billing,4507,REG3438
141,21/10/2024, POS Billing,1939,REG3535
142,29/10/2024, POS Billing,2635,REG3642
143,05/11/2024, POS Billing,614,REG3725
144,11/11/2024, POS Billing,1571,REG3825
145,18/11/2024, POS Billing,887,REG3925
146,25/11/2024, POS Billing,1722,REG4006
147,27/11/2024, POS Billing,410,REG4023
148,02/12/2024, POS Billing,917,REG4127
149,02/05/2024, POS Billing,1397,REG1010
150,09/05/2024, POS Billing,1897,REG1125
151,16/05/2024, POS Billing,1429,REG1230
152,23/05/2024, POS Billing,1647,REG1325
153,30/05/2024, POS Billing,2309,REG1428
154,07/06/2024, POS Billing,1571,REG1516
155,14/06/2024, POS Billing,2105,REG1613
156,20/06/2024, POS Billing,2333,REG1718
157,27/06/2024, POS Billing,1070,REG1835
158,04/07/2024, POS Billing,1881,REG1945
159,11/07/2024, POS Billing,1763,REG2056
160,18/07/2024, POS Billing,1732,REG2170
161,25/07/2024, POS Billing,1781,REG2280
162,02/08/2024, POS Billing,1407,REG2357
163,08/08/2024, POS Billing,1336,REG2467
164,15/08/2024, POS Billing,2010,REG2572
165,22/08/2024, POS Billing,1847,REG2651
166,29/08/2024, POS Billing,1127,REG2756
167,04/09/2024, POS Billing,1525,REG2846
168,12/09/2024, POS Billing,2441,REG2960
169,19/09/2024, POS Billing,2318,REG3062
170,26/09/2024, POS Billing,1839,REG3167
171,03/10/2024, POS Billing,1923,REG3258
172,10/10/2024, POS Billing,1816,REG3381
173,17/10/2024, POS Billing,1457,REG3482
174,24/10/2024, POS Billing,1710,REG3581
175,30/10/2024, POS Billing,854.5,REG3672
176,07/11/2024, POS Billing,1963,REG3767
177,14/11/2024, POS Billing,1724,REG3875
178,22/11/2024, POS Billing,1306,REG3963
179,28/11/2024, POS Billing,1917,REG4069
180,05/12/2024, POS Billing,2009,REG4181
181,07/05/2024, POS Billing,540,REG1086
182,07/05/2024, POS Billing,8651,REG1087
183,25/06/2024, POS Billing,7578,REG1789
184,31/07/2024, POS Billing,7813,REG2317
185,09/05/2024, POS Billing,1288,REG1108
186,18/05/2024, POS Billing,108,REG1259
187,23/05/2024, POS Billing,1140,REG1311
188,20/06/2024, POS Billing,1042,REG1726
189,27/06/2024, POS Billing,979,REG1817
190,04/07/2024, POS Billing,1087,REG1931
191,11/07/2024, POS Billing,2044,REG2053
192,18/07/2024, POS Billing,1946.5,REG2154
193,25/07/2024, POS Billing,1225,REG2260
194,09/08/2024, POS Billing,2346.5,REG2473
195,15/08/2024, POS Billing,1102,REG2578
196,29/08/2024, POS Billing,1311,REG2738
197,04/09/2024, POS Billing,1148,REG2859
198,12/09/2024, POS Billing,1104,REG2943
199,20/09/2024, POS Billing,108,REG3072
200,26/09/2024, POS Billing,1756,REG3149
201,03/10/2024, POS Billing,1845,REG3244
202,10/10/2024, POS Billing,2017,REG3362
203,17/10/2024, POS Billing,1339,REG3468
204,24/10/2024, POS Billing,1945,REG3567
205,07/11/2024, POS Billing,2461.5,REG3776
206,14/11/2024, POS Billing,1437,REG3861
207,21/11/2024, POS Billing,2157,REG3944
208,23/11/2024, POS Billing,124,REG3966
209,29/11/2024, POS Billing,2562,REG4074
210,02/05/2024, POS Billing,5952,REG1003
211,09/05/2024, POS Billing,4398,REG1114
212,16/05/2024, POS Billing,1830,REG1220
213,23/05/2024, POS Billing,3392,REG1319
214,25/05/2024, POS Billing,348,REG1355
215,30/05/2024, POS Billing,3348,REG1422
216,07/06/2024, POS Billing,3658,REG1511
217,14/06/2024, POS Billing,5924,REG1602
218,20/06/2024, POS Billing,4370,REG1712
219,27/06/2024, POS Billing,4309,REG1824
220,11/07/2024, POS Billing,3127,REG2043
221,07/10/2024, POS Billing,10955,REG3315
222,07/10/2024, POS Billing,11995,REG3316
223,15/10/2024, POS Billing,3740,REG3441
224,24/10/2024, POS Billing,5024,REG3574
225,30/10/2024, POS Billing,3825,REG3668
226,07/11/2024, POS Billing,3272,REG3772
227,21/11/2024, POS Billing,4261,REG3959
228,28/11/2024, POS Billing,4029,REG4047
229,06/12/2024, POS Billing,6543,REG4183
230,02/05/2024, POS Billing,1741,REG1006
231,09/05/2024, POS Billing,2327,REG1116
232,23/05/2024, POS Billing,2916,REG1317
233,30/05/2024, POS Billing,300,REG1419
234,07/06/2024, POS Billing,1729,REG1519
235,14/06/2024, POS Billing,2144,REG1608
236,27/06/2024, POS Billing,3709,REG1829
237,04/07/2024, POS Billing,560,REG1947
238,11/07/2024, POS Billing,1442,REG2048
239,18/07/2024, POS Billing,2581,REG2163
240,25/07/2024, POS Billing,196,REG2270
241,08/08/2024, POS Billing,960,REG2458
242,15/08/2024, POS Billing,1142,REG2564
243,22/08/2024, POS Billing,2982,REG2639
244,29/08/2024, POS Billing,280,REG2748
245,31/08/2024, POS Billing,420,REG2766
246,12/09/2024, POS Billing,3447,REG2949
247,19/09/2024, POS Billing,692,REG3055
248,26/09/2024, POS Billing,585,REG3159
249,03/10/2024, POS Billing,1380,REG3252
250,10/10/2024, POS Billing,2784,REG3382
251,17/10/2024, POS Billing,1294,REG3473
252,20/10/2024, POS Billing,420,REG3513
253,24/10/2024, POS Billing,5216,REG3572
254,10/05/2024, POS Billing,1356,REG1136
255,17/05/2024, POS Billing,990,REG1237
256,31/05/2024, POS Billing,1354,REG1439
257,07/06/2024, POS Billing,1370,REG1524
258,20/06/2024, POS Billing,1370,REG1719
259,28/06/2024, POS Billing,290,REG1842
260,11/07/2024, POS Billing,1450,REG2061
261,25/07/2024, POS Billing,1254,REG2275
262,04/09/2024, POS Billing,1545,REG2854
263,14/11/2024, POS Billing,1195,REG3871
264,28/11/2024, POS Billing,790,REG4065
265,05/12/2024, POS Billing,814,REG4171
266,10/05/2024, POS Billing,3360,REG1134
267,23/05/2024, POS Billing,3440,REG1332
268,31/05/2024, POS Billing,2632,REG1438
269,14/06/2024, POS Billing,3784,REG1618
270,27/06/2024, POS Billing,3090,REG1841
271,29/06/2024, POS Billing,610,REG1843
272,19/07/2024, POS Billing,1772,REG2176
273,01/08/2024, POS Billing,7006,REG2351
274,15/08/2024, POS Billing,2610,REG2575
275,29/08/2024, POS Billing,3260,REG2763
276,04/09/2024, POS Billing,5878,REG2853
277,20/09/2024, POS Billing,3439,REG3067
278,03/10/2024, POS Billing,3183,REG3259
279,18/10/2024, POS Billing,3291,REG3491
280,07/11/2024, POS Billing,4779,REG3764
281,22/11/2024, POS Billing,2234,REG3965
282,05/12/2024, POS Billing,5184,REG4170
283,11/05/2024, POS Billing,3934,REG1150
284,03/05/2024, POS Billing,1140,REG1024
285,09/05/2024, POS Billing,1350,REG1113
286,11/05/2024, CASH,44450,4109
287,23/05/2024, POS Billing,1040,REG1331
288,30/05/2024, POS Billing,1180,REG1417
289,07/06/2024, POS Billing,2150,REG1535
290,14/06/2024, POS Billing,1120,REG1600
291,20/06/2024, POS Billing,1220,REG1709
292,27/06/2024, POS Billing,1350,REG1822
293,11/07/2024, POS Billing,1085,REG2052
294,01/08/2024, POS Billing,1120,REG2343
295,08/08/2024, POS Billing,1350,REG2461
296,15/08/2024, POS Billing,1230,REG2557
297,22/08/2024, POS Billing,1120,REG2633
298,29/08/2024, POS Billing,3080,REG2745
299,05/09/2024, POS Billing,1245,REG2868
300,12/09/2024, POS Billing,1400,REG2945
301,26/09/2024, POS Billing,1330,REG3153
302,03/10/2024, POS Billing,1200,REG3249
303,10/10/2024, POS Billing,1350,REG3366
304,24/10/2024, POS Billing,2445,REG3563
305,30/10/2024, POS Billing,1330,REG3665
306,07/11/2024, POS Billing,1200,REG3758
307,14/11/2024, POS Billing,1400,REG3870
308,05/12/2024, POS Billing,850,REG4176
309,06/05/2024, POS Billing,2168,REG1052
310,13/05/2024, POS Billing,2580,REG1166
311,27/05/2024, POS Billing,5121,REG1361
312,03/06/2024, POS Billing,2571,REG1465
313,10/06/2024, POS Billing,3945,REG1548
314,17/06/2024, POS Billing,2261,REG1646
315,01/07/2024, POS Billing,2559,REG1868
316,08/07/2024, POS Billing,2308,REG1984
317,15/07/2024, POS Billing,4577,REG2101
318,22/07/2024, POS Billing,2178,REG2203
319,30/07/2024, POS Billing,3552,REG2290
320,05/08/2024, POS Billing,2605,REG2391
321,12/08/2024, POS Billing,570,REG2505
322,19/08/2024, POS Billing,3703,REG2616
323,26/08/2024, POS Billing,4337,REG2686
324,02/09/2024, POS Billing,3983,REG2791
325,09/09/2024, POS Billing,3323,REG2899
326,16/09/2024, POS Billing,2715,REG2993
327,23/09/2024, POS Billing,4437,REG3095
328,30/09/2024, POS Billing,2708,REG3201
329,07/10/2024, POS Billing,3793,REG3298
330,14/10/2024, POS Billing,3320,REG3411
331,21/10/2024, POS Billing,3993,REG3516
332,28/10/2024, POS Billing,3822,REG3625
333,04/11/2024, POS Billing,5016,REG3702
334,11/11/2024, POS Billing,2662,REG3808
335,18/11/2024, POS Billing,3168,REG3912
336,25/11/2024, POS Billing,3584,REG3999
337,02/12/2024, POS Billing,4806,REG4116
338,09/12/2024, POS Billing,3330,REG4217
339,14/05/2024, POS Billing,2175,REG1196
340,18/06/2024, POS Billing,1467,REG1680
341,02/07/2024, POS Billing,2759,REG1907
342,16/07/2024, POS Billing,1675,REG2130
343,06/08/2024, POS Billing,1909,REG2430
344,27/08/2024, POS Billing,2216,REG2717
345,17/09/2024, POS Billing,1972,REG3023
346,01/10/2024, POS Billing,2520,REG3224
347,22/10/2024, POS Billing,2602,REG3541
348,12/11/2024, POS Billing,2220,REG3838
349,03/12/2024, POS Billing,2862,REG4139
350,06/05/2024, POS Billing,2592,REG1051
351,13/05/2024, POS Billing,888,REG1177
352,14/05/2024, CASH,27820,4273
353,20/05/2024, POS Billing,2075,REG1268
354,27/05/2024, POS Billing,3058,REG1360
355,03/06/2024, POS Billing,2400,REG1464
356,10/06/2024, POS Billing,2043,REG1547
357,17/06/2024, POS Billing,2360,REG1645
358,24/06/2024, POS Billing,2789,REG1755
359,01/07/2024, POS Billing,1647,REG1867
360,08/07/2024, POS Billing,2539,REG1983
361,15/07/2024, POS Billing,2055,REG2092
362,22/07/2024, POS Billing,1986,REG2202
363,30/07/2024, POS Billing,1183,REG2289
364,05/08/2024, POS Billing,1194,REG2390
365,12/08/2024, POS Billing,1566,REG2516
366,02/09/2024, POS Billing,4806,REG2790
367,09/09/2024, POS Billing,922,REG2892
368,16/09/2024, POS Billing,2534,REG2992
369,23/09/2024, POS Billing,2514,REG3094
370,30/09/2024, POS Billing,1685,REG3200
371,07/10/2024, POS Billing,1452,REG3296
372,14/10/2024, POS Billing,2418,REG3410
373,28/10/2024, POS Billing,3496,REG3617
374,04/11/2024, POS Billing,1884,REG3701
375,11/11/2024, POS Billing,1026,REG3807
376,18/11/2024, POS Billing,1190,REG3903
377,25/11/2024, POS Billing,2365,REG3989
378,02/12/2024, POS Billing,2580,REG4117
379,09/12/2024, POS Billing,630,REG4218
380,14/05/2024, POS Billing,719.5,REG1181
381,04/06/2024, POS Billing,913,REG1479
382,10/06/2024, POS Billing,1105,REG1568
383,18/06/2024, POS Billing,994,REG1660
384,01/07/2024, POS Billing,804,REG1891
385,16/07/2024, POS Billing,963,REG2116
386,30/07/2024, POS Billing,2071,REG2304
387,13/08/2024, POS Billing,1102,REG2529
388,27/08/2024, POS Billing,1135,REG2701
389,17/09/2024, POS Billing,1427,REG3010
390,30/09/2024, POS Billing,1145,REG3214
391,08/10/2024, POS Billing,1941,REG3320
392,15/10/2024, POS Billing,2440,REG3429
393,21/10/2024, POS Billing,975,REG3529
394,28/10/2024, POS Billing,1131,REG3630
395,11/11/2024, POS Billing,2347,REG3827
396,25/11/2024, POS Billing,1349,REG4009
397,02/12/2024, POS Billing,1021,REG4130
398,13/05/2024, POS Billing,282,REG1163
399,14/05/2024, POS Billing,1633,REG1186
400,21/05/2024, POS Billing,58,REG1288
401,27/05/2024, POS Billing,1102,REG1376
402,04/06/2024, POS Billing,1128,REG1486
403,18/06/2024, POS Billing,1188,REG1667
404,19/06/2024, POS Billing,372,REG1687
405,25/06/2024, POS Billing,641,REG1782
406,08/07/2024, POS Billing,558,REG2007
407,23/07/2024, POS Billing,1046,REG2228
408,24/07/2024, POS Billing,148,REG2253
409,30/07/2024, POS Billing,1122,REG2310
410,13/08/2024, POS Billing,426,REG2524
411,27/08/2024, POS Billing,1127,REG2707
412,03/09/2024, POS Billing,1733,REG2814
413,09/09/2024, POS Billing,500,REG2912
414,17/09/2024, POS Billing,463,REG3017
415,24/09/2024, POS Billing,1119,REG3113
416,30/09/2024, POS Billing,135,REG3219
417,08/10/2024, POS Billing,3181,REG3328
418,09/10/2024, POS Billing,444,REG3355
419,15/10/2024, POS Billing,1125,REG3436
420,28/10/2024, POS Billing,2336,REG3637
421,12/11/2024, POS Billing,2078,REG3841
422,25/11/2024, POS Billing,2449,REG4005
423,09/12/2024, POS Billing,2518,REG4227
424,02/05/2024, POS Billing,6250,REG1004
425,09/05/2024, POS Billing,2496,REG1121
426,16/05/2024, POS Billing,3211,REG1223
427,28/05/2024, POS Billing,760,REG1397
428,30/05/2024, POS Billing,1866,REG1424
429,07/06/2024, POS Billing,1320,REG1494
430,08/06/2024, POS Billing,2879,REG1537
431,14/06/2024, POS Billing,3692,REG1601
432,20/06/2024, POS Billing,2174,REG1716
433,27/06/2024, POS Billing,2593,REG1840
434,04/07/2024, POS Billing,6369,REG1951
435,18/07/2024, POS Billing,4774,REG2173
436,25/07/2024, POS Billing,3916,REG2282
437,01/08/2024, POS Billing,2015,REG2355
438,08/08/2024, POS Billing,3589,REG2472
439,15/08/2024, POS Billing,2698,REG2567
440,22/08/2024, POS Billing,3390,REG2644
441,29/08/2024, POS Billing,3129,REG2761
442,04/09/2024, POS Billing,4271,REG2843
443,12/09/2024, POS Billing,3737,REG2956
444,26/09/2024, POS Billing,6153,REG3170
445,03/10/2024, POS Billing,4115,REG3264
446,10/10/2024, POS Billing,3132,REG3376
447,17/10/2024, POS Billing,2044,REG3478
448,21/10/2024, POS Billing,1050,REG3531
449,24/10/2024, POS Billing,2403,REG3564
450,01/11/2024, POS Billing,2019,REG3676
451,07/11/2024, POS Billing,3216,REG3771
452,11/11/2024, POS Billing,1050,REG3804
453,14/11/2024, POS Billing,4533,REG3879
454,28/11/2024, POS Billing,4155,REG4071
455,28/11/2024, POS Billing,1920,REG4048
456,05/12/2024, POS Billing,4539,REG4177
457,07/05/2024, POS Billing,933,REG1089
458,14/05/2024, POS Billing,876,REG1201
459,21/05/2024, POS Billing,899,REG1296
460,18/06/2024, POS Billing,562,REG1684
461,25/06/2024, POS Billing,660,REG1797
462,02/07/2024, POS Billing,739,REG1910
463,16/07/2024, POS Billing,790,REG2132
464,23/07/2024, POS Billing,635,REG2239
465,31/07/2024, POS Billing,738,REG2325
466,13/08/2024, POS Billing,1376,REG2543
467,27/08/2024, POS Billing,1700,REG2721
468,03/09/2024, POS Billing,1073,REG2826
469,17/09/2024, POS Billing,423,REG3027
470,25/09/2024, POS Billing,900,REG3126
471,08/10/2024, POS Billing,940,REG3331
472,22/10/2024, POS Billing,1155,REG3548
473,29/10/2024, POS Billing,1891,REG3647
474,12/11/2024, POS Billing,1174,REG3840
475,26/11/2024, POS Billing,1321,REG4021
476,10/12/2024, POS Billing,750,REG4240
477,07/05/2024, POS Billing,758,REG1079
478,14/05/2024, POS Billing,1288,REG1193
479,21/05/2024, POS Billing,208,REG1292
480,12/06/2024, POS Billing,798,REG1577
481,18/06/2024, POS Billing,1397,REG1676
482,25/06/2024, POS Billing,560,REG1787
483,02/07/2024, POS Billing,380,REG1901
484,09/07/2024, POS Billing,208,REG2015
485,16/07/2024, POS Billing,208,REG2123
486,23/07/2024, POS Billing,1191,REG2232
487,31/07/2024, POS Billing,622,REG2318
488,21/05/2024, POS Billing,1000,REG1291
489,28/05/2024, POS Billing,1070,REG1391
490,16/07/2024, POS Billing,710,REG2125
491,01/05/2024, POS Billing,644,REG990
492,08/05/2024, POS Billing,1040,REG1094
493,15/05/2024, POS Billing,694,REG1206
494,22/05/2024, POS Billing,318,REG1302
495,29/05/2024, POS Billing,508,REG1403
496,13/06/2024, POS Billing,2052,REG1585
497,19/06/2024, POS Billing,995,REG1692
498,03/07/2024, POS Billing,1274,REG1919
499,10/07/2024, POS Billing,558,REG2025
500,18/07/2024, POS Billing,174,REG2151
501,24/07/2024, POS Billing,1548,REG2244
502,31/07/2024, POS Billing,494,REG2330
503,07/08/2024, POS Billing,1798,REG2441
504,15/08/2024, POS Billing,501,REG2548
505,22/08/2024, POS Billing,1030,REG2629
506,28/08/2024, POS Billing,878,REG2728
507,04/09/2024, POS Billing,742,REG2834
508,11/09/2024, POS Billing,1128,REG2931
509,18/09/2024, POS Billing,1038.5,REG3033
510,25/09/2024, POS Billing,908,REG3137
511,09/10/2024, POS Billing,660,REG3343
512,16/10/2024, POS Billing,556,REG3462
513,23/10/2024, POS Billing,2033,REG3554
514,06/11/2024, POS Billing,546,REG3742
515,13/11/2024, POS Billing,590,REG3851
516,27/11/2024, POS Billing,957,REG4043
517,04/05/2024, POS Billing,616,REG1040
518,17/05/2024, POS Billing,380,REG1253
519,25/05/2024, POS Billing,496,REG1349
520,01/06/2024, POS Billing,380,REG1459
521,15/06/2024, POS Billing,380,REG1632
522,22/06/2024, POS Billing,470,REG1745
523,29/06/2024, POS Billing,570,REG1862
524,05/07/2024, POS Billing,1070,REG1969
525,03/08/2024, POS Billing,280,REG2388
526,24/08/2024, POS Billing,695,REG2664
527,31/08/2024, POS Billing,3000,REG2779
528,27/09/2024, POS Billing,1548,REG3180
529,11/10/2024, POS Billing,1360,REG3392
530,26/10/2024, POS Billing,1632,REG3599
531,01/11/2024, POS Billing,602,REG3684
532,09/11/2024, POS Billing,901,REG3796
533,16/11/2024, POS Billing,690,REG3898
534,30/11/2024, POS Billing,1861,REG4089
535,07/12/2024, POS Billing,1138,REG4201
536,25/05/2024, POS Billing,7940,REG1337
537,20/07/2024, POS Billing,7647,REG2181
538,27/09/2024, POS Billing,11669,REG3186
539,25/05/2024, POS Billing,244.75,REG1357
540,19/07/2024, POS Billing,172,REG2179
541,02/11/2024, POS Billing,70,REG3699
542,11/05/2024, POS Billing,6286,REG1151
543,01/06/2024, POS Billing,4888,REG1454
544,07/06/2024, POS Billing,300,REG1503
545,15/06/2024, POS Billing,270,REG1634
546,22/06/2024, POS Billing,6472,REG1749
547,29/06/2024, POS Billing,180,REG1858
548,06/07/2024, POS Billing,444,REG1977
549,13/07/2024, POS Billing,1060,REG2082
550,20/07/2024, POS Billing,4893,REG2196
551,03/08/2024, POS Billing,1180,REG2384
552,10/08/2024, POS Billing,1396,REG2488
553,17/08/2024, POS Billing,5514,REG2600
554,31/08/2024, POS Billing,420,REG2781
555,06/09/2024, POS Billing,1544,REG2878
556,13/09/2024, POS Billing,994,REG2979
557,20/09/2024, POS Billing,1426,REG3082
558,27/09/2024, POS Billing,816,REG3182
559,04/10/2024, POS Billing,1224,REG3277
560,11/10/2024, POS Billing,6865,REG3393
561,02/11/2024, POS Billing,1038,REG3697
562,09/11/2024, POS Billing,1238,REG3799
563,16/11/2024, POS Billing,4906,REG3900
564,30/11/2024, POS Billing,900,REG4092
565,07/12/2024, POS Billing,420,REG4204
566,06/05/2024, POS Billing,1772,REG1058
567,13/05/2024, POS Billing,2168,REG1172
568,20/05/2024, POS Billing,2732,REG1273
569,27/05/2024, POS Billing,2012,REG1366
570,03/06/2024, POS Billing,3088,REG1471
571,04/06/2024, CASH,29578,5282
572,10/06/2024, POS Billing,2194,REG1554
573,17/06/2024, POS Billing,1300,REG1652
574,24/06/2024, POS Billing,2734,REG1760
575,01/07/2024, POS Billing,2070,REG1877
576,08/07/2024, POS Billing,2716,REG1989
577,15/07/2024, POS Billing,2764,REG2098
578,22/07/2024, POS Billing,2314,REG2209
579,30/07/2024, POS Billing,2496,REG2297
580,05/08/2024, POS Billing,1924,REG2397
581,12/08/2024, POS Billing,2650,REG2512
582,19/08/2024, POS Billing,2718,REG2611
583,26/08/2024, POS Billing,3257,REG2690
584,02/09/2024, POS Billing,3325,REG2798
585,09/09/2024, POS Billing,2428,REG2896
586,16/09/2024, POS Billing,3243,REG3000
587,23/09/2024, POS Billing,2074,REG3100
588,30/09/2024, POS Billing,3296,REG3208
589,07/10/2024, POS Billing,3294,REG3305
590,14/10/2024, POS Billing,2493,REG3417
591,21/10/2024, POS Billing,3104,REG3521
592,28/10/2024, POS Billing,2286,REG3622
593,04/11/2024, POS Billing,3912,REG3709
594,11/11/2024, POS Billing,1924,REG3812
595,18/11/2024, POS Billing,4090,REG3907
596,25/11/2024, POS Billing,2448,REG3993
597,02/12/2024, POS Billing,4338,REG4108
598,09/12/2024, POS Billing,2510,REG4213
599,02/05/2024, POS Billing,7100,REG1013
600,09/05/2024, POS Billing,2844,REG1131
601,16/05/2024, POS Billing,5938,REG1218
602,07/06/2024, POS Billing,5271,REG1522
603,20/06/2024, POS Billing,8348,REG1713
604,04/07/2024, POS Billing,4891,REG1939
605,11/07/2024, POS Billing,6635,REG2045
606,18/07/2024, POS Billing,4966,REG2159
607,12/09/2024, POS Billing,4542,REG2946
608,19/09/2024, POS Billing,3971,REG3050
609,14/11/2024, POS Billing,7129,REG3864
610,21/11/2024, POS Billing,1953,REG3950
611,28/11/2024, POS Billing,3448,REG4059
612,05/12/2024, POS Billing,5510,REG4164
613,02/05/2024, POS Billing,1727,REG1012
614,09/05/2024, POS Billing,1948,REG1130
615,23/05/2024, POS Billing,2165,REG1328
